timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619344182967,1187,google,200,OK,Thread Group 1-20,text,true,,13933,117,1,1,https://www.google.com/,1183,0,790
1619347087496,4675,google,200,OK,Thread Group 1-4,text,true,,13882,117,11,11,https://www.google.com/,4421,0,3838
1619347088132,4044,google,200,OK,Thread Group 1-5,text,true,,13847,117,11,11,https://www.google.com/,3851,0,3194
1619347088752,3424,google,200,OK,Thread Group 1-6,text,true,,13911,117,11,11,https://www.google.com/,3318,0,2660
1619347086100,6071,google,200,OK,Thread Group 1-1,text,true,,13893,117,11,11,https://www.google.com/,5738,0,5224
1619347086860,5311,google,200,OK,Thread Group 1-3,text,true,,13917,117,11,11,https://www.google.com/,5034,0,4475
1619347090655,1613,google,200,OK,Thread Group 1-9,text,true,,13856,117,6,6,https://www.google.com/,1204,0,829
1619347089379,2917,google,200,OK,Thread Group 1-7,text,true,,13888,117,5,5,https://www.google.com/,2844,0,2046
1619347086222,6074,google,200,OK,Thread Group 1-2,text,true,,13865,117,5,5,https://www.google.com/,5736,0,5096
1619347090021,2282,google,200,OK,Thread Group 1-8,text,true,,13909,117,3,3,https://www.google.com/,2164,0,1406
1619347091275,1110,google,200,OK,Thread Group 1-10,text,true,,13951,117,2,2,https://www.google.com/,1057,0,555
1619347091902,1355,google,200,OK,Thread Group 1-11,text,true,,13952,117,3,3,https://www.google.com/,1314,0,823
1619347092573,1195,google,200,OK,Thread Group 1-12,text,true,,13873,117,2,2,https://www.google.com/,1176,0,657
1619347093178,878,google,200,OK,Thread Group 1-13,text,true,,13872,117,2,2,https://www.google.com/,864,0,490
1619347093815,2246,google,200,OK,Thread Group 1-14,text,true,,13855,117,4,4,https://www.google.com/,2233,0,1270
1619347094437,1724,google,200,OK,Thread Group 1-15,text,true,,13910,117,3,3,https://www.google.com/,1617,0,774
1619347095070,2330,google,200,OK,Thread Group 1-16,text,true,,13864,117,4,4,https://www.google.com/,2045,0,1009
1619347096335,1492,google,200,OK,Thread Group 1-18,text,true,,13913,117,4,4,https://www.google.com/,1458,0,1113
1619347095691,2187,google,200,OK,Thread Group 1-17,text,true,,13901,117,3,3,https://www.google.com/,1926,0,1274
1619347096938,1178,google,200,OK,Thread Group 1-19,text,true,,13941,117,2,2,https://www.google.com/,1070,0,680
1619347097572,1498,google,200,OK,Thread Group 1-20,text,true,,13865,117,1,1,https://www.google.com/,1191,0,618
